2, 33744, 15, 3, 1000, 0.498507, 0, 0.0391096, 0.406464, 0.278532, -1
2, 33744, 22, 3, 1000, 0.606109, 0, 0.0446012, 0.511714, 0.307535, -1
2, 33744, 18, 3, 1000, 0.384665, 0, 0.014089, 0.315066, 0.21637, -1
2, 33744, 20, 3, 1000, 0.4129, 0, 0.0403568, 0.327656, 0.237386, -1
2, 33744, 15, 3, 1000, 0.444368, 0, 0.0409615, 0.352763, 0.264927, -1
2, 33744, 20, 3, 1000, 0.48758, 0, 0.0161175, 0.389578, 0.285128, -1
2, 33744, 19, 3, 1000, 0.467944, 0, 0.0336529, 0.369617, 0.269292, -1
2, 33744, 15, 3, 1000, 0.557397, 0, 0.046557, 0.460654, 0.295408, -1
2, 33744, 13, 3, 1000, 0.414937, 0, 0.0322008, 0.340307, 0.229474, -1
2, 33744, 15, 3, 1000, 0.587146, 0, 0.0188173, 0.479042, 0.327689, -1
2, 33744, 17, 3, 1000, 0.624507, 0, 0.0326668, 0.532473, 0.330939, -1
2, 33744, 22, 3, 1000, 0.371408, 0, 0.0175902, 0.305848, 0.215456, -1
2, 33744, 15, 3, 1000, 0.38711, 0, 0.03747, 0.308195, 0.227676, -1
2, 33744, 15, 3, 1000, 0.431328, 0, 0.0405075, 0.350465, 0.243802, -1
2, 33744, 16, 3, 1000, 0.467522, 0, 0.0351939, 0.395587, 0.246723, -1
2, 33744, 16, 3, 1000, 0.384927, 0, 0.0291269, 0.30286, 0.235031, -1
2, 33744, 18, 3, 1000, 0.519893, 0, 0.0311216, 0.410766, 0.287085, -1
2, 33744, 21, 3, 1000, 0.335386, 0, 0.0303913, 0.270898, 0.205611, -1
2, 33744, 17, 3, 1000, 0.380784, 0, 0.0350508, 0.32877, 0.207389, -1
2, 33744, 18, 3, 1000, 0.376485, 0, 0.0719205, 0.316856, 0.216838, -1
2, 33744, 20, 3, 1000, 0.44782, 0, 0.0252196, 0.358424, 0.258742, -1
2, 33744, 18, 3, 1000, 0.54914, 0, 0.0861501, 0.439406, 0.310634, -1
